X (g),Y (g),Z (g),X (m/s²),Y (m/s²),Z (m/s²)
-0.041015625,0.55078125,-1.181640625,-0.40236328125000004,5.4031640625,-11.59189453125
-0.046875,0.6884765625,-0.99072265625,-0.45984375,6.753955078125,-9.7189892578125
-0.02978515625,0.72900390625,-0.86376953125,-0.29219238281250004,7.1515283203125,-8.4735791015625
0.00244140625,0.69091796875,-0.798828125,0.023950195312500002,6.777905273437501,-7.836503906250001
0.01611328125,0.54345703125,-0.77099609375,0.1580712890625,5.3313134765625,-7.563471679687501
0.0419921875,0.33251953125,-0.76806640625,0.41194335937500004,3.2620166015625003,-7.5347314453125005
0.06005859375,0.12890625,-0.68115234375,0.5891748046875,1.2645703125,-6.6821044921875
0.064453125,0.06689453125,-0.51123046875,0.63228515625,0.6562353515625,-5.0151708984375
0.0947265625,0.064453125,-0.4013671875,0.929267578125,0.63228515625,-3.9374121093750003
0.15234375,0.1533203125,-0.4072265625,1.4944921875000001,1.504072265625,-3.994892578125
0.15625,0.3203125,-0.30126953125,1.5328125000000001,3.1422656250000003,-2.9554541015625
0.16796875,0.43603515625,-0.14794921875,1.6477734375000002,4.2775048828125,-1.4513818359375001
0.1845703125,0.4853515625,0.005859375,1.8106347656250001,4.761298828125001,0.05748046875
0.189453125,0.4365234375,0.13330078125,1.85853515625,4.282294921875001,1.3076806640625
0.291015625,0.29638671875,0.05126953125,2.85486328125,2.9075537109375,0.5029541015625
0.37841796875,0.248046875,-0.05224609375,3.7122802734375,2.4333398437500002,-0.5125341796875
0.33447265625,0.38671875,0.12060546875,3.2811767578125,3.7937109375,1.1831396484375
0.3564453125,0.72802734375,0.41845703125,3.496728515625,7.1419482421875005,4.1050634765625
0.353515625,1.04638671875,0.9892578125,3.4679882812500002,10.2650537109375,9.704619140625
0.04638671875,0.951171875,2.2958984375,0.4550537109375,9.33099609375,22.522763671875
-0.31640625,0.30810546875,3.4765625,-3.1039453125,3.0225146484375003,34.105078125
-0.29052734375,-0.70751953125,3.06298828125,-2.8500732421875004,-6.9407666015625,30.047915039062502
0.01953125,-1.5029296875,1.494140625,0.19160156250000002,-14.743740234375,14.657519531250001
0.33251953125,-1.79833984375,-0.0791015625,3.2620166015625003,-17.6417138671875,-0.775986328125
0.7021484375,-1.49609375,-1.373046875,6.888076171875,-14.6766796875,-13.46958984375
0.79052734375,-1.05908203125,-1.1259765625,7.755073242187501,-10.3895947265625,-11.045830078125
0.48974609375,-0.70458984375,0.859375,4.8044091796875,-6.9120263671875,8.430468750000001
0.29833984375,0.13134765625,2.40673828125,2.9267138671875,1.2885205078125002,23.610102539062503
0.380859375,1.0634765625,2.3525390625,3.73623046875,10.432705078125,23.078408203125
0.5732421875,1.58935546875,1.27490234375,5.623505859375,15.591577148437501,12.5067919921875
0.67822265625,1.62841796875,-0.01171875,6.6533642578125,15.974780273437501,-0.1149609375
0.72314453125,1.27294921875,-1.154296875,7.0940478515625,12.487631835937501,-11.32365234375
0.67431640625,0.578125,-1.7841796875,6.6150439453125,5.67140625,-17.502802734375003
0.49609375,-0.27001953125,-1.8720703125,4.8666796875000005,-2.6488916015625,-18.365009765625
0.44970703125,-0.88623046875,-1.87890625,4.4116259765625,-8.6939208984375,-18.432070312500002
0.5556640625,-1.0361328125,-1.82861328125,5.451064453125,-10.164462890625,-17.938696289062502
0.58056640625,-0.515625,-1.1162109375,5.6953564453125,-5.05828125,-10.950029296875
0.537109375,0.15234375,0.2626953125,5.26904296875,1.4944921875000001,2.5770410156250003
0.54736328125,0.580078125,1.7880859375,5.3696337890625,5.69056640625,17.541123046875
0.57763671875,0.83544921875,3.201171875,5.666616210937501,8.1957568359375,31.40349609375
0.6943359375,0.7822265625,3.99462890625,6.811435546875001,7.673642578125,39.1873095703125
0.900390625,0.44775390625,4.07080078125,8.83283203125,4.3924658203125,39.9345556640625
1.07568359375,-0.00048828125,3.88232421875,10.5524560546875,-0.0047900390625,38.0856005859375
1.189453125,-0.41357421875,3.69140625,11.66853515625,-4.0571630859375,36.2126953125
1.2861328125,-0.61767578125,3.50634765625,12.616962890625,-6.059399414062501,34.3972705078125
1.2646484375,-0.45849609375,3.595703125,12.406201171875,-4.4978466796875,35.27384765625
1.21533203125,-0.07470703125,3.72900390625,11.9224072265625,-0.7328759765625,36.5815283203125
1.2431640625,0.2666015625,3.54296875,12.195439453125001,2.615361328125,34.7565234375
1.2138671875,0.52490234375,3.37060546875,11.908037109375,5.1492919921875,33.065639648437504
1.2080078125,0.64892578125,3.1416015625,11.850556640625001,6.3659619140625,30.819111328125
1.22021484375,0.56005859375,2.8388671875,11.970307617187501,5.4941748046875,27.849287109375002
1.19482421875,0.3837890625,2.6279296875,11.7212255859375,3.7649707031250004,25.779990234375003
1.14892578125,0.18994140625,2.5703125,11.2709619140625,1.8633251953125,25.214765625000002
1.0927734375,0.02978515625,2.7138671875,10.720107421875001,0.29219238281250004,26.623037109375
0.97998046875,-0.06396484375,2.95166015625,9.613608398437501,-0.6274951171875001,28.955786132812502
0.87109375,-0.197265625,3.04345703125,8.5454296875,-1.9351757812500001,29.8563134765625
0.8125,-0.3388671875,2.9345703125,7.970625,-3.324287109375,28.788134765625003
0.748046875,-0.4638671875,2.6748046875,7.33833984375,-4.550537109375,26.239833984375
0.71240234375,-0.52783203125,2.2333984375,6.9886669921875,-5.1780322265625,21.909638671875
0.66015625,-0.45361328125,1.78369140625,6.4761328125,-4.4499462890625,17.4980126953125
0.57763671875,-0.25537109375,1.39208984375,5.666616210937501,-2.5051904296875,13.6564013671875
